County,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
077,"Coweta County, Georgia",129397.0,37.1,60813.0,26757.0,16305.0,12.600755813504177
067,"Cobb County, Georgia",699235.0,35.7,63920.0,33069.0,88408.0,12.64353185981823
083,"Dade County, Georgia",16580.0,39.4,43205.0,21690.0,2448.0,14.764776839565743
317,"Wilkes County, Georgia",10265.0,43.8,28983.0,17120.0,2746.0,26.7510959571359
027,"Brooks County, Georgia",15885.0,40.9,34419.0,19409.0,3756.0,23.64494806421152
129,"Gordon County, Georgia",55409.0,36.3,40926.0,19177.0,11415.0,20.60134635167572
105,"Elbert County, Georgia",19907.0,41.5,35817.0,18835.0,4010.0,20.143668056462552
165,"Jenkins County, Georgia",8642.0,40.0,26104.0,17565.0,2503.0,28.96320296227725
217,"Newton County, Georgia",100808.0,34.9,50580.0,21484.0,15051.0,14.930362669629394
133,"Greene County, Georgia",16091.0,46.9,42565.0,27828.0,3547.0,22.043378285998383
071,"Colquitt County, Georgia",45781.0,34.9,32484.0,17025.0,11965.0,26.13529630195933
085,"Dawson County, Georgia",22387.0,40.8,53525.0,27330.0,3430.0,15.321391879215616
063,"Clayton County, Georgia",262455.0,32.0,40606.0,17950.0,61713.0,23.513745213465164
